Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Joschinski, J., Hovestadt, T., Krauss, J.","Coping with shorter days: Do phenology shifts constrain aphid fitness?",2015,"PeerJ",2015,7, e1103,,,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937838072&partnerID=40&md5=d9430783a0a593ded69661efcc0c3a7e",Article,Scopus,2-s2.0-84937838072
"McClain, C.R., Balk, M.A., Benfield, M.C., Branch, T.A., Chen, C., Cosgrove, J., Dove, A.D.M., Gaskins, L.C., Helm, R.R., Hochberg, F.G., Lee, F.B., Marshall, A., McMurray, S.E., Schanche, C., Stone, S.N., Thaler, A.D.","Sizing ocean giants: Patterns of intraspecific size variation in marine megafauna",2015,"PeerJ",2015,1, e715,,,,17,10.7717/peerj.715,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926472778&partnerID=40&md5=073da57167a9130cefde82ea9789e513",Article,Scopus,2-s2.0-84926472778
"Turney, S., Cameron, E.R., Cloutier, C.A., Buddle, C.M.","Non-repeatable science: Assessing the frequency of voucher specimen deposition reveals that most arthropod research cannot be verified",2015,"PeerJ",2015,8, 1168,,,,11,10.7717/peerj.1168,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940398320&partnerID=40&md5=0d2d4820c6d32324def3d28c22d69dc0",Article,Scopus,2-s2.0-84940398320
"Clay, Z., Archbold, J., Zuberbühler, K.","Functional flexibility in wild bonobo vocal behaviour",2015,"PeerJ",2015,8, 1124,,,,12,10.7717/peerj.1124,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940379207&partnerID=40&md5=f35e09fed914ceccd5c9eb8b8b1faf02",Article,Scopus,2-s2.0-84940379207
"Couturier, L.I.E., Jaine, F.R.A., Kashiwagi, T.","First photographic records of the giant manta ray manta birostris off eastern Australia",2015,"PeerJ",3,1, e742,,,,1,10.7717/peerj.742,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937644378&partnerID=40&md5=fde5ec84020112cfb51f723846324e66",Article,Scopus,2-s2.0-84937644378
"Hammer, T.J., Dickerson, J.C., Fierer, N.","Evidence-based recommendations on storing and handling specimens for analyses of insect microbiota",2015,"PeerJ",2015,8, 1190,,,,4,10.7717/peerj.1190,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940374269&partnerID=40&md5=8c6e6466f325a32fb71be6aa3bd7d19c",Article,Scopus,2-s2.0-84940374269
"Slabaugh, M.B., Cooper, L.D., Kishore, V.K., Knapp, S.J., Kling, J.G.","Genes affecting novel seed constituents in Limnanthes alba Benth: Transcriptome analysis of developing embryos and a new genetic map of meadowfoam",2015,"PeerJ",2015,5, e915,,,,1,10.7717/peerj.915,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930659582&partnerID=40&md5=19e02d2850be139aa0d5c537f91b87b3",Article,Scopus,2-s2.0-84930659582
"Bastian, Z.J., Bastian, R.W.","The use of neuralgia medications to treat sensory neuropathic cough: Our experience in a retrospective cohort of thirty-two patients",2015,"PeerJ",2015,3, e816,,,,2,10.7717/peerj.816,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926459282&partnerID=40&md5=050e92e4b895a43920a6fee57695604f",Article,Scopus,2-s2.0-84926459282
"Proulx, R., Rheault, G., Bonin, L., Roca, I.T., Martin, C.A., Desrochers, L., Seiferling, I.","Howmuch biomass do plant communities pack per unit volume?",2015,"PeerJ",2015,3, e849,,,,1,10.7717/peerj.849,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84926500527&partnerID=40&md5=ec42a1a12df6970364b72b87bfe4d5ab",Article,Scopus,2-s2.0-84926500527
"Rittenhouse, C.D., Mong, T.W., Hart, T.","Weather conditions associated with autumn migration bymule deer in Wyoming",2015,"PeerJ",2015,6, 1045,,,,1,10.7717/peerj.1045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944748294&partnerID=40&md5=c90cd13bb291724f4da50b9339c3fc1d",Article,Scopus,2-s2.0-84944748294
"Michelsen, C.F., Jensen, H., Venditto, V.J., Hennessy, R.C., Stougaard, P.","Bioactivities by a crude extract fromthe Greenlandic Pseudomonas sp. In5 involves the nonribosomal peptides, nunamycin and nunapeptin",2015,"PeerJ",2015,12, e1476,,,,1,10.7717/peerj.1476,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84951101093&partnerID=40&md5=012c311d74b59962bb641173126d33ce",Article,Scopus,2-s2.0-84951101093
"Sambu, S.","A Bayesian approach to optimizing cryopreservation protocols",2015,"PeerJ",2015,6, 1039,,,,1,10.7717/peerj.1039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944748765&partnerID=40&md5=e85362ad03be2e8a213ded553b64d00a",Article,Scopus,2-s2.0-84944748765
"Hutchinson, J.R., Rankin, J.W., Rubenson, J., Rosenbluth, K.H., Siston, R.A., Delp, S.L.","Musculoskeletal modelling of an ostrich (Struthio camelus) pelvic limb: Influence of limb orientation onmuscular capacity during locomotion",2015,"PeerJ",2015,6, e1001,,,,9,10.7717/peerj.1001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945190908&partnerID=40&md5=c866091b9cb4ee2fa36f28e96d41b618",Article,Scopus,2-s2.0-84945190908
